# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: TheLittleLadySellsHomes
# Property: Northern Colorado Homes for Sell
# ----------------------------------------
# 
# All Users
# Start date: 20200720
# End date: 20260818
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Direct,6572,6402,459,65.53594273530308,1.048735912275358,72707,0,0
Organic Search,6257,6278,701,100.35320441105961,1.0334025891002077,52574,0,0
Organic Social,5246,5153,188,11.038124285169653,0.8902020587113991,24751,0,0
Paid Search,2857,2862,112,4.373118655932797,0.5624781239061953,11092,0,0
Paid Social,883,885,40,5.010204081632653,0.5804988662131519,3656,0,0
Referral,274,275,57,201.68613138686132,1.4744525547445255,5123,0,0
Organic Video,18,18,1,274.44444444444446,3.6666666666666665,428,0,0
Unassigned,15,15,0,23.533333333333335,0.6666666666666666,88,0,0
AI Assistant,5,5,2,22.6,0.6,25,0,0
Cross-network,1,1,0,0,1,4,0,0
Paid Other,1,0,0,0,1,3,0,0
